n     ,d=0                ,d=2                ,d=3                , d=4
128   ,1.506168265306949  ,7.749261873832184  ,17.322723889211506 ,28.30078257865437 
256   ,1.0600657650642504 ,10.903119492058975 ,27.105784715597594 ,45.89233320287603 
512   ,1.1145764026314553 ,15.082673613174254 ,43.677859427245735 ,76.67690985369502 
1024  ,1.1801686466010983 ,21.174547539461976 ,68.48567135593728  ,129.84358920609296
2048  ,1.2020199583160622 ,29.7866350092714   ,106.62999038907734 ,217.3479253809186 
4096  ,1.1892607595720506 ,41.594716665253266 ,169.90734988522644 ,361.524155910944  
8192  ,1.2120677558500326 ,58.808476439551725 ,268.2062117589624  ,603.7017018750831 
16384 ,1.2041960631382387 ,83.21051335936677  ,423.2777612357407  ,1006.2692409640333
32768 ,1.193771151580688  ,117.52780131928156 ,669.1382710559274  ,1683.561221514858 
65536 ,1.2018388874556858 , 
